"year","catch","cpue"
1987,18320.01,0.88454240802123
1988,20365.376,1.24487034028611
1989,17761.891,0.967159936915989
1990,16017.504,1.02000152018181
1991,15746.277,0.979190801594762
1992,14709.419,0.655010787004289
1993,13264.866,0.62227677765788
1994,16082.214,1.05597697017403
1995,13014.808,0.930609080039559
1996,12052.811,0.850363796677855
1997,14693.346,0.834871473261341
1998,14368.865,1.15802762434796
1999,13698.637,1.03579353759637
2000,15568.785,0.910029601149462
2001,15006.067,0.924655013253339
2002,12814.036,1.133516260626
2003,15674.089,0.96049994918417
2004,14404.921,0.849196714936584
2005,14600.071,0.990184335258332
2006,14892.954,1.08229175545868
2007,14226.83855,1.07535679870693
2008,12152.68896,1.19563762782524
